County,Sexually transmitted infections,Primary care physicians
Alamance County,459.9,55.0
Alamance County,471.0,57.0
Alexander County,213.0,19.0
Alexander County,206.2,19.0
Alleghany County,208.1,109.0
Alleghany County,155.6,110.0
Anson County,725.3,45.0
Anson County,694.5,42.0
Ashe County,103.2,44.0
Ashe County,81.2,48.0
Avery County,56.9,28.0
Avery County,56.7,74.0
Beaufort County,463.4,50.0
Beaufort County,686.2,53.0
Bertie County,847.9,24.0
Bertie County,716.6,29.0
Bladen County,552.6,26.0
Bladen County,518.4,26.0
Brunswick County,339.7,43.0
Brunswick County,250.3,39.0
Buncombe County,316.9,126.0
Buncombe County,314.5,127.0
Burke County,232.1,58.0
Burke County,248.6,56.0
Cabarrus County,396.8,89.0
Cabarrus County,391.3,92.0
Caldwell County,328.9,44.0
Caldwell County,238.0,44.0
Camden County,179.7,20.0
Camden County,158.6,10.0
Carteret County,301.3,73.0
Carteret County,316.4,62.0
Caswell County,324.7,4.0
Caswell County,344.6,9.0
Catawba County,372.3,66.0
Catawba County,360.2,67.0
Chatham County,238.3,45.0
Chatham County,215.2,100.0
Cherokee County,125.0,44.0
Cherokee County,144.5,41.0
Chowan County,471.3,74.0
Chowan County,575.4,81.0
Clay County,66.3,47.0
Clay County,131.9,47.0
Cleveland County,518.0,51.0
Cleveland County,510.9,50.0
Columbus County,655.0,40.0
Columbus County,445.9,38.0
Craven County,773.0,66.0
Craven County,510.6,68.0
Cumberland County,1123.8,76.0
Cumberland County,1106.9,73.0
Currituck County,275.5,17.0
Currituck County,211.8,17.0
Dare County,274.0,76.0
Dare County,260.3,67.0
Davidson County,327.0,32.0
Davidson County,298.9,31.0
Davie County,180.5,39.0
Davie County,200.3,43.0
Duplin County,423.2,25.0
Duplin County,346.5,27.0
Durham County,710.0,124.0
Durham County,830.7,122.0
Edgecombe County,1192.0,27.0
Edgecombe County,1152.7,32.0
Forsyth County,765.7,100.0
Forsyth County,755.0,106.0
Franklin County,297.7,20.0
Franklin County,406.7,20.0
Gaston County,705.2,66.0
Gaston County,428.3,65.0
Gates County,456.7,8.0
Gates County,412.8,8.0
Graham County,125.0,23.0
Graham County,229.9,23.0
Granville County,393.5,45.0
Granville County,478.2,48.0
Greene County,570.6,9.0
Greene County,485.3,9.0
Guilford County,1028.3,75.0
Guilford County,788.2,78.0
Halifax County,686.7,55.0
Halifax County,786.9,59.0
Harnett County,402.5,30.0
Harnett County,341.4,33.0
Haywood County,243.0,73.0
Haywood County,224.1,78.0
Henderson County,194.6,77.0
Henderson County,211.5,80.0
Hertford County,929.1,57.0
Hertford County,699.7,45.0
Hoke County,612.9,6.0
Hoke County,548.1,6.0
Hyde County,274.8,17.0
Hyde County,221.9,17.0
Iredell County,354.2,67.0
Iredell County,333.1,71.0
Jackson County,439.4,97.0
Jackson County,380.7,89.0
Johnston County,318.7,31.0
Johnston County,265.2,29.0
Jones County,459.1,60.0
Jones County,321.2,49.0
Lee County,478.3,54.0
Lee County,470.6,55.0
Lenoir County,586.5,46.0
Lenoir County,607.8,46.0
Lincoln County,255.9,46.0
Lincoln County,235.8,42.0
Macon County,234.8,79.0
Macon County,147.6,77.0
Madison County,269.0,53.0
Madison County,221.8,53.0
Martin County,641.0,37.0
Martin County,697.0,46.0
McDowell County,170.7,38.0
McDowell County,240.0,36.0
Mecklenburg County,796.1,87.0
Mecklenburg County,648.7,86.0
Mitchell County,103.6,91.0
Mitchell County,97.6,78.0
Montgomery County,368.7,29.0
Montgomery County,325.3,33.0
Moore County,293.2,92.0
Moore County,297.9,97.0
Nash County,659.6,60.0
Nash County,616.5,60.0
New Hanover County,572.3,88.0
New Hanover County,510.9,92.0
Northampton County,621.2,9.0
Northampton County,648.7,9.0
Onslow County,665.5,33.0
Onslow County,814.7,33.0
Orange County,405.1,198.0
Orange County,330.6,180.0
Pamlico County,287.9,38.0
Pamlico County,260.1,38.0
Pasquotank County,641.3,54.0
Pasquotank County,773.6,71.0
Pender County,307.1,32.0
Pender County,245.4,31.0
Perquimans County,281.8,22.0
Perquimans County,427.6,22.0
Person County,486.9,33.0
Person County,435.5,33.0
Pitt County,1143.0,99.0
Pitt County,963.2,99.0
Polk County,103.7,54.0
Polk County,157.9,54.0
Randolph County,292.2,48.0
Randolph County,280.8,45.0
Richmond County,442.0,43.0
Richmond County,459.0,45.0
Robeson County,853.8,44.0
Robeson County,842.1,45.0
Rockingham County,446.8,42.0
Rockingham County,409.8,39.0
Rowan County,487.6,43.0
Rowan County,492.1,41.0
Rutherford County,346.5,55.0
Rutherford County,375.8,52.0
Sampson County,442.5,50.0
Sampson County,301.8,47.0
Scotland County,652.5,75.0
Scotland County,717.6,69.0
Stanly County,369.5,43.0
Stanly County,272.4,48.0
Stokes County,230.7,17.0
Stokes County,222.3,17.0
Surry County,238.8,72.0
Surry County,217.5,75.0
Swain County,690.7,107.0
Swain County,530.4,99.0
Transylvania County,335.2,70.0
Transylvania County,286.2,70.0
Tyrrell County,572.9,
Tyrrell County,322.7,
Union County,252.6,57.0
Union County,247.9,59.0
Vance County,1079.3,51.0
Vance County,1085.7,44.0
Wake County,533.6,80.0
Wake County,489.3,81.0
Warren County,565.6,14.0
Warren County,534.6,15.0
Washington County,639.8,39.0
Washington County,659.5,39.0
Watauga County,179.2,82.0
Watauga County,181.2,64.0
Wayne County,727.6,52.0
Wayne County,660.0,53.0
Wilkes County,200.0,43.0
Wilkes County,230.9,40.0
Wilson County,665.4,41.0
Wilson County,651.1,43.0
Yadkin County,188.1,29.0
Yadkin County,168.0,29.0
Yancey County,152.5,73.0
Yancey County,113.4,74.0
